"name","longitude","latitude","prov","date","key"
"Bradypus variegatus",-85.8329428553268,13.0175305133532,"gbif",1963-12-16,686433443
"Bradypus variegatus",-82.03,9.17,"gbif",1962-03-29,1319938619
"Bradypus variegatus",-55.5,-3.666667,"gbif",1961-01-05,665865453
"Bradypus variegatus",-73.56694,9.13778,"gbif",1961-05-23,1065333400
"Bradypus variegatus",-82.4,9.3,"gbif",1960-01-24,1321612108
"Bradypus variegatus",-82.52,9.45,"gbif",1960-03-09,1322425709
"Bradypus variegatus",-55.299999,-3.466667,"gbif",1959-04-23,665730402
"Bradypus variegatus",-79.35,9.23,"gbif",1958-02-02,1319404741
"Bradypus variegatus",-77.983,-1.467,"gbif",1958-04-12,919440176
"Bradypus variegatus",-77.683333,2.866667,"gbif",1958-05-19,665747524
"Bradypus variegatus",-76.946678,5.047172,"gbif",1958-10-01,665720933
"Bradypus variegatus",-76.7089,7.98178,"gbif",1958-12-01,1315028691
"Bradypus variegatus",-77.349998,-3.7,"gbif",1957-03-27,665885572
"Bradypus variegatus",-79.08,9.48,"gbif",1957-05-09,1318076490
"Bradypus variegatus",-76.683333,5.1,"gbif",1956-06-09,665734016
"Bradypus variegatus",-74.216667,-4.833333,"gbif",1956-11-19,665882533
"Bradypus variegatus",-76.95,3.733333,"gbif",1956-12-26,665904270
"Bradypus variegatus",-75.333333,0.466667,"gbif",1952-03-11,665833215
"Bradypus variegatus",-75.083333,9.95,"gbif",1949-01-23,665831277
"Bradypus variegatus",-75.35,9.5,"gbif",1949-06-01,665831279
"Bradypus variegatus",-75.683333,8.283333,"gbif",1949-07-30,665831282
"Bradypus variegatus",-69.683333,-13.516667,"gbif",1940-02-02,476817718
"Bradypus variegatus",-64.416664,-16,"gbif",1937-02-10,665816781
"Bradypus variegatus",-79.561029,8.961795,"gbif",1936-04-15,1145101158
"Bradypus variegatus",-62.083332,-3.833333,"gbif",1936-07-03,665815802
"Bradypus variegatus",-79.85,8.53333,"gbif",1933-04-01,1065377914
"Bradypus variegatus",-48.89176,-1.540276,"gbif",1932-01-30,476817713
"Bradypus variegatus",-83.699997,9.383333,"gbif",1932-01-01,1145891864
"Bradypus variegatus",-49,-3,"gbif",1932-12-10,1039515241
"Bradypus variegatus",-77.316666,-0.633333,"gbif",1929-02-12,665800413
"Bradypus variegatus",-77.812856,-0.993799,"gbif",1929-07-04,476818320
"Bradypus variegatus",-49.5,-1,"gbif",1923-05-15,665803940
"Bradypus variegatus",-76.050003,-5.833333,"gbif",1912-09-27,665789113
"Bradypus variegatus",-52.59256,-6.14058,"gbif",1906-02-16,865718046
"Bradypus variegatus",-85.10798,15.4389,"gbif",1818-06-20,1145688678
