"","X","name","longitude","latitude","prov","date","key"
"269",270,"Bradypus_variegatus",-76.2833,7.85,"literature",NA,NA
"270",271,"Bradypus_variegatus",-72.5167,7.9,"literature",NA,NA
"273",274,"Bradypus_variegatus",-77.6,8,"literature",NA,NA
"274",275,"Bradypus_variegatus",-78.61667,8.0167,"literature",NA,NA
"280",281,"Bradypus_variegatus",-75.6833,8.2833,"literature",NA,NA
"281",282,"Bradypus_variegatus",-72.5833,8.5,"literature",NA,NA
"283",284,"Bradypus_variegatus",-79.6,8.9,"literature",NA,NA
"284",285,"Bradypus_variegatus",-81.8,8.9333,"literature",NA,NA
"285",286,"Bradypus_variegatus",-83.4667,8.95,"literature",NA,NA
"287",288,"Bradypus_variegatus",-74.7333,9.1167,"literature",NA,NA
"290",292,"Bradypus_variegatus",-82.25,9.1833,"literature",NA,NA
"299",302,"Bradypus_variegatus",-82.5167,9.45,"literature",NA,NA
"304",308,"Bradypus_variegatus",-73.4333,10.15,"literature",NA,NA
"305",309,"Bradypus_variegatus",-74,10.3,"literature",NA,NA
"307",311,"Bradypus_variegatus",-65.8333,10.3667,"literature",NA,NA
"308",312,"Bradypus_variegatus",-67.6833,10.3667,"literature",NA,NA
"311",315,"Bradypus_variegatus",-84.0167,10.6333,"literature",NA,NA
"312",316,"Bradypus_variegatus",-83.7,10.9333,"literature",NA,NA
"314",318,"Bradypus_variegatus",-83.7667,12.15,"literature",NA,NA
"315",319,"Bradypus_variegatus",-71.3167,12.35,"literature",NA,NA
"317",321,"Bradypus_variegatus",-84.5333,13.95,"literature",NA,NA
