"","name","longitude","latitude","prov","date","key"
"289","bradypus_variegatus",-79.85,9.15,"literature",NA,NA
"291","bradypus_variegatus",-79.8167,9.1667,"literature",NA,NA
"292","bradypus_variegatus",-82.25,9.1833,"literature",NA,NA
"293","bradypus_variegatus",-79.9,9.2167,"literature",NA,NA
"294","bradypus_variegatus",-79.35,9.2333,"literature",NA,NA
"295","bradypus_variegatus",-79.85,9.25,"literature",NA,NA
"296","bradypus_variegatus",-79.9333,9.25,"literature",NA,NA
"297","bradypus_variegatus",-79.9833,9.25,"literature",NA,NA
"298","bradypus_variegatus",-82.2667,9.25,"literature",NA,NA
"299","bradypus_variegatus",-79.6,9.2833,"literature",NA,NA
"300","bradypus_variegatus",-75.4,9.3,"literature",NA,NA
"302","bradypus_variegatus",-82.5167,9.45,"literature",NA,NA
"304","bradypus_variegatus",-82.7833,9.6,"literature",NA,NA
"305","bradypus_variegatus",-83.6333,9.8833,"literature",NA,NA
"306","bradypus_variegatus",-83.5667,9.9167,"literature",NA,NA
"307","bradypus_variegatus",-75.0667,9.9667,"literature",NA,NA
"308","bradypus_variegatus",-73.4333,10.15,"literature",NA,NA
"309","bradypus_variegatus",-74,10.3,"literature",NA,NA
"310","bradypus_variegatus",-84.5,10.3333,"literature",NA,NA
"311","bradypus_variegatus",-65.8333,10.3667,"literature",NA,NA
"312","bradypus_variegatus",-67.6833,10.3667,"literature",NA,NA
"313","bradypus_variegatus",-66.8333,10.3667,"literature",NA,NA
"314","bradypus_variegatus",-68.3833,10.5333,"literature",NA,NA
"315","bradypus_variegatus",-84.0167,10.6333,"literature",NA,NA
"316","bradypus_variegatus",-83.7,10.9333,"literature",NA,NA
"317","bradypus_variegatus",-84.4333,12.15,"literature",NA,NA
"318","bradypus_variegatus",-83.7667,12.15,"literature",NA,NA
"319","bradypus_variegatus",-71.3167,12.35,"literature",NA,NA
"320","bradypus_variegatus",-85.9333,13.1833,"literature",NA,NA
"321","bradypus_variegatus",-84.5333,13.95,"literature",NA,NA
